Customer_ID,First_Name,Last_Name,Email,Phone_Number,Address,Date_Joined,Account_Status
CUST000001,Clare,Arnold,clare.arnold@gmail.com,+44(0)1514960912,"377 Alexandra station, Stevensonmouth, NE10 3DH",2023-10-27,active
CUST000002,David,Hart,dhart@aol.com,+4420 7496 0261,"Flat 03z, Liam fort, South Robin, W99 8ZQ",2023-12-22,active
CUST000003,Roy,Walker,roy.walker78@gmail.com,0131 496 0846,"1 Mitchell spurs, Justinton, LS1 6NS",2020-01-13,active
CUST000004,Matthew,Taylor,matthew.taylor76@btinternet.com,029 2018 0768,"Studio 44, Walker lights, Katyview, LN06 3YH",2024-10-16,active
CUST000005,Ross,Cooper,ross.cooper@hotmail.com,+44151 4960688,"Studio 46, Julia vista, Carolynhaven, W2J 6RA",2020-11-15,active
CUST000006,Ruth,Mitchell,ruth.mitchell45@icloud.com,028 9018046,"722 Lewis burg, Knowlestown, WR5B 7FD",2024-05-15,active
CUST000007,Bernard,Cooper,bcooper@virginmedia.com,01314960472,"3 Jones spurs, East Clive, N6J 4DX",2023-02-19,active
CUST000008,Ashley,Lawson,ashley.lawson@icloud.com,0121 496 0536,"Studio 02g, Hayley village, Abigailburgh, L6 9RD",2024-02-02,active
CUST000009,Bethany,Hayes,bethany.hayes11@outlook.com,(0118) 496 0138,"Flat 91, Barry highway, Singhberg, PO21 3FP",2023-05-19,active
CUST000010,Jordan,Roberts,jordan.roberts@sky.com,+44(0)113 496 0244,"40 Lord mountain, Howarthborough, E3 6AF",2020-01-13,suspended
CUST000011,Nicole,Turner,nicole.turner@icloud.com,+44909 8790788,"Flat 63, Taylor streets, South Nicola, E8B 0JB",2022-09-03,active
CUST000012,Bethany,Thomas,bethany.thomas@aol.com,0808 1570068,"435 Bernard mall, West Tinashire, SN4 0QW",2023-12-09,active
CUST000013,Albert,Bradley,albert.bradley41@virginmedia.com,+44(0)115 4960216,"03 Pearson canyon, Burrowsburgh, CW5 2BL",2023-03-22,active
CUST000014,Michael,Smith,michael.smith@talktalk.com,+44131 4960877,"Studio 7, Steven crest, Patriciaburgh, G0C 8LR",2015-05-19,active
CUST000015,Charlie,Walker,charlie.walker96@aol.com,+449098790418,"Flat 10Y, Allen throughway, Evansshire, G49 1EL",2020-06-01,active
CUST000016,Mathew,Davies,mathew.davies@outlook.com,(0306) 999 0658,"396 Steven burg, Port Ianstad, DH54 0HB",2024-04-28,active
